,indicator,indicator-index,source,year,geography-level,value
326,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,LSIS2,2017,XIENGKHUANG,57.6
327,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,LSIS2,2017,VIENTIANE,56.0
328,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,LSIS2,2017,BORIKHAMXAY,47.6
329,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,LSIS2,2017,KHAMMUA,14.4
330,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,LSIS2,2017,SAVANNAKHET,16.8
331,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,LSIS2,2017,SARAVANE,63.9
332,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,LSIS2,2017,SEKONG,56.2
333,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,LSIS2,2017,CHAMPASACK,24.8
334,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,LSIS2,2017,ATTAPEU,44.0
335,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,LSIS2,2017,XAYSOMBOUNE,62.9
336,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,LSIS1,2012,target-2020,50.0
337,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,LSIS1,2012,target-2025,60.0
338,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,LSIS1,2012,NATIONAL,40.4
339,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,LSIS1,2012,VIENTIANE CAPITAL,30.5
340,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,LSIS1,2012,PHONGSALY,59.7
341,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,LSIS1,2012,LUANGNAMTHA,73.8
342,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,LSIS1,2012,OUDOMXAY,61.7
343,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,LSIS1,2012,BOKEO,41.8
344,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,LSIS1,2012,LUANGPRABANG,45.0
345,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,LSIS1,2012,HUAPHANH,77.2
346,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,LSIS1,2012,XAYABURY,61.7
347,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,LSIS1,2012,XIENGKHUANG,73.8
348,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,LSIS1,2012,VIENTIANE,56.0
349,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,LSIS1,2012,BORIKHAMXAY,45.0
350,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,LSIS1,2012,KHAMMUA,13.4
351,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,LSIS1,2012,SAVANNAKHET,16.5
352,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,LSIS1,2012,SARAVANE,28.0
353,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,LSIS1,2012,SEKONG,62.3
354,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,LSIS1,2012,CHAMPASACK,20.1
355,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,LSIS1,2012,ATTAPEU,42.5
356,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,LSIS1,2012,XAYSOMBOUNE,
357,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,MICS3,2006,target-2020,50.0
358,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,MICS3,2006,target-2025,60.0
359,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,MICS3,2006,NATIONAL,26.4
360,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,MICS3,2006,VIENTIANE CAPITAL,
361,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,MICS3,2006,PHONGSALY,
362,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,MICS3,2006,LUANGNAMTHA,
363,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,MICS3,2006,OUDOMXAY,
364,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,MICS3,2006,BOKEO,
365,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,MICS3,2006,LUANGPRABANG,
366,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,MICS3,2006,HUAPHANH,
367,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,MICS3,2006,XAYABURY,
368,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,MICS3,2006,XIENGKHUANG,
369,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,MICS3,2006,VIENTIANE,
370,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,MICS3,2006,BORIKHAMXAY,
371,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,MICS3,2006,KHAMMUA,
372,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,MICS3,2006,SAVANNAKHET,
373,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,MICS3,2006,SARAVANE,
374,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,MICS3,2006,SEKONG,
375,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,MICS3,2006,CHAMPASACK,
376,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,MICS3,2006,ATTAPEU,
377,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,MICS3,2006,XAYSOMBOUNE,
378,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,MICS2,2000,target-2020,50.0
379,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,MICS2,2000,target-2025,60.0
380,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,MICS2,2000,NATIONAL,26.0
381,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,MICS2,2000,VIENTIANE CAPITAL,
382,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,MICS2,2000,PHONGSALY,
383,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,MICS2,2000,LUANGNAMTHA,
384,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,MICS2,2000,OUDOMXAY,
385,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,MICS2,2000,BOKEO,
386,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,MICS2,2000,LUANGPRABANG,
387,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,MICS2,2000,HUAPHANH,
388,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,MICS2,2000,XAYABURY,
389,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,MICS2,2000,XIENGKHUANG,
390,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,MICS2,2000,VIENTIANE,
391,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,MICS2,2000,BORIKHAMXAY,
392,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,MICS2,2000,KHAMMUA,
393,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,MICS2,2000,SAVANNAKHET,
394,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,MICS2,2000,SARAVANE,
395,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,MICS2,2000,SEKONG,
396,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,MICS2,2000,CHAMPASACK,
397,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,MICS2,2000,ATTAPEU,
398,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,MICS2,2000,XAYSOMBOUNE,
399,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,MICS1,1997,target-2020,50.0
400,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,MICS1,1997,target-2025,60.0
401,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,MICS1,1997,NATIONAL,38.7
402,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,MICS1,1997,VIENTIANE CAPITAL,
403,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,MICS1,1997,PHONGSALY,
404,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,MICS1,1997,LUANGNAMTHA,
405,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,MICS1,1997,OUDOMXAY,
406,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,MICS1,1997,BOKEO,
407,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,MICS1,1997,LUANGPRABANG,
408,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,MICS1,1997,HUAPHANH,
409,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,MICS1,1997,XAYABURY,
410,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,MICS1,1997,XIENGKHUANG,
411,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,MICS1,1997,VIENTIANE,
412,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,MICS1,1997,BORIKHAMXAY,
413,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,MICS1,1997,KHAMMUA,
414,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,MICS1,1997,SAVANNAKHET,
415,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,MICS1,1997,SARAVANE,
416,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,MICS1,1997,SEKONG,
417,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,MICS1,1997,CHAMPASACK,
418,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,MICS1,1997,ATTAPEU,
419,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,MICS1,1997,XAYSOMBOUNE,
420,Early initiation of breastfeeding prevalence,SUN,LSIS2,2017,target-2020,70.0
421,Early initiation of breastfeeding prevalence,SUN,LSIS2,2017,target-2025,
422,Early initiation of breastfeeding prevalence,SUN,LSIS2,2017,NATIONAL,50.1
423,Early initiation of breastfeeding prevalence,SUN,LSIS2,2017,VIENTIANE CAPITAL,44.0
424,Early initiation of breastfeeding prevalence,SUN,LSIS2,2017,PHONGSALY,53.5
425,Early initiation of breastfeeding prevalence,SUN,LSIS2,2017,LUANGNAMTHA,50.9
426,Early initiation of breastfeeding prevalence,SUN,LSIS2,2017,OUDOMXAY,45.0
427,Early initiation of breastfeeding prevalence,SUN,LSIS2,2017,BOKEO,59.5
428,Early initiation of breastfeeding prevalence,SUN,LSIS2,2017,LUANGPRABANG,77.2
429,Early initiation of breastfeeding prevalence,SUN,LSIS2,2017,HUAPHANH,15.6
430,Early initiation of breastfeeding prevalence,SUN,LSIS2,2017,XAYABURY,83.0
431,Early initiation of breastfeeding prevalence,SUN,LSIS2,2017,XIENGKHUANG,67.3
432,Early initiation of breastfeeding prevalence,SUN,LSIS2,2017,VIENTIANE,44.5
433,Early initiation of breastfeeding prevalence,SUN,LSIS2,2017,BORIKHAMXAY,39.0
434,Early initiation of breastfeeding prevalence,SUN,LSIS2,2017,KHAMMUA,32.6
435,Early initiation of breastfeeding prevalence,SUN,LSIS2,2017,SAVANNAKHET,39.7
436,Early initiation of breastfeeding prevalence,SUN,LSIS2,2017,SARAVANE,80.3
437,Early initiation of breastfeeding prevalence,SUN,LSIS2,2017,SEKONG,79.2
438,Early initiation of breastfeeding prevalence,SUN,LSIS2,2017,CHAMPASACK,30.4
439,Early initiation of breastfeeding prevalence,SUN,LSIS2,2017,ATTAPEU,54.8
440,Early initiation of breastfeeding prevalence,SUN,LSIS2,2017,XAYSOMBOUNE,20.7
441,Early initiation of breastfeeding prevalence,SUN,LSIS1,2012,target-2020,70.0
442,Early initiation of breastfeeding prevalence,SUN,LSIS1,2012,target-2025,
443,Early initiation of breastfeeding prevalence,SUN,LSIS1,2012,NATIONAL,39.1
444,Early initiation of breastfeeding prevalence,SUN,LSIS1,2012,VIENTIANE CAPITAL,45.9
445,Early initiation of breastfeeding prevalence,SUN,LSIS1,2012,PHONGSALY,60.4
446,Early initiation of breastfeeding prevalence,SUN,LSIS1,2012,LUANGNAMTHA,35.3
447,Early initiation of breastfeeding prevalence,SUN,LSIS1,2012,OUDOMXAY,22.2
448,Early initiation of breastfeeding prevalence,SUN,LSIS1,2012,BOKEO,41.0
449,Early initiation of breastfeeding prevalence,SUN,LSIS1,2012,LUANGPRABANG,44.9
450,Early initiation of breastfeeding prevalence,SUN,LSIS1,2012,HUAPHANH,36.4
451,Early initiation of breastfeeding prevalence,SUN,LSIS1,2012,XAYABURY,66.4
452,Early initiation of breastfeeding prevalence,SUN,LSIS1,2012,XIENGKHUANG,58.9
453,Early initiation of breastfeeding prevalence,SUN,LSIS1,2012,VIENTIANE,51.3
454,Early initiation of breastfeeding prevalence,SUN,LSIS1,2012,BORIKHAMXAY,23.8
455,Early initiation of breastfeeding prevalence,SUN,LSIS1,2012,KHAMMUA,30.0
456,Early initiation of breastfeeding prevalence,SUN,LSIS1,2012,SAVANNAKHET,21.9
457,Early initiation of breastfeeding prevalence,SUN,LSIS1,2012,SARAVANE,54.5
458,Early initiation of breastfeeding prevalence,SUN,LSIS1,2012,SEKONG,44.0
459,Early initiation of breastfeeding prevalence,SUN,LSIS1,2012,CHAMPASACK,23.3
460,Early initiation of breastfeeding prevalence,SUN,LSIS1,2012,ATTAPEU,48.7
461,Early initiation of breastfeeding prevalence,SUN,LSIS1,2012,XAYSOMBOUNE,
462,Mininum Acceptable  Diet among children 6-23 months,SUN,LSIS2,2017,target-2020,
463,Mininum Acceptable  Diet among children 6-23 months,SUN,LSIS2,2017,target-2025,
464,Mininum Acceptable  Diet among children 6-23 months,SUN,LSIS2,2017,NATIONAL,26.4
465,Mininum Acceptable  Diet among children 6-23 months,SUN,LSIS2,2017,VIENTIANE CAPITAL,51.5
466,Mininum Acceptable  Diet among children 6-23 months,SUN,LSIS2,2017,PHONGSALY,28.0
467,Mininum Acceptable  Diet among children 6-23 months,SUN,LSIS2,2017,LUANGNAMTHA,32.4
468,Mininum Acceptable  Diet among children 6-23 months,SUN,LSIS2,2017,OUDOMXAY,6.2
469,Mininum Acceptable  Diet among children 6-23 months,SUN,LSIS2,2017,BOKEO,25.8
470,Mininum Acceptable  Diet among children 6-23 months,SUN,LSIS2,2017,LUANGPRABANG,20.8
471,Mininum Acceptable  Diet among children 6-23 months,SUN,LSIS2,2017,HUAPHANH,18.8
472,Mininum Acceptable  Diet among children 6-23 months,SUN,LSIS2,2017,XAYABURY,43.4
473,Mininum Acceptable  Diet among children 6-23 months,SUN,LSIS2,2017,XIENGKHUANG,31.7
474,Mininum Acceptable  Diet among children 6-23 months,SUN,LSIS2,2017,VIENTIANE,21.6
475,Mininum Acceptable  Diet among children 6-23 months,SUN,LSIS2,2017,BORIKHAMXAY,36.0
476,Mininum Acceptable  Diet among children 6-23 months,SUN,LSIS2,2017,KHAMMUA,15.5
477,Mininum Acceptable  Diet among children 6-23 months,SUN,LSIS2,2017,SAVANNAKHET,24.8
478,Mininum Acceptable  Diet among children 6-23 months,SUN,LSIS2,2017,SARAVANE,21.4
479,Mininum Acceptable  Diet among children 6-23 months,SUN,LSIS2,2017,SEKONG,10.8
480,Mininum Acceptable  Diet among children 6-23 months,SUN,LSIS2,2017,CHAMPASACK,21.1
481,Mininum Acceptable  Diet among children 6-23 months,SUN,LSIS2,2017,ATTAPEU,25.9
482,Mininum Acceptable  Diet among children 6-23 months,SUN,LSIS2,2017,XAYSOMBOUNE,32.0
483,Mininum Acceptable  Diet among children 6-23 months,SUN,LSIS1,2012,target-2020,
484,Mininum Acceptable  Diet among children 6-23 months,SUN,LSIS1,2012,target-2025,
485,Mininum Acceptable  Diet among children 6-23 months,SUN,LSIS1,2012,NATIONAL,45.3
486,Mininum Acceptable  Diet among children 6-23 months,SUN,LSIS1,2012,VIENTIANE CAPITAL,75.9
487,Mininum Acceptable  Diet among children 6-23 months,SUN,LSIS1,2012,PHONGSALY,45.5
488,Mininum Acceptable  Diet among children 6-23 months,SUN,LSIS1,2012,LUANGNAMTHA,47.3
489,Mininum Acceptable  Diet among children 6-23 months,SUN,LSIS1,2012,OUDOMXAY,19.8
490,Mininum Acceptable  Diet among children 6-23 months,SUN,LSIS1,2012,BOKEO,45.2
491,Mininum Acceptable  Diet among children 6-23 months,SUN,LSIS1,2012,LUANGPRABANG,39.6
492,Mininum Acceptable  Diet among children 6-23 months,SUN,LSIS1,2012,HUAPHANH,40.7
493,Mininum Acceptable  Diet among children 6-23 months,SUN,LSIS1,2012,XAYABURY,64.1
494,Mininum Acceptable  Diet among children 6-23 months,SUN,LSIS1,2012,XIENGKHUANG,52.1
495,Mininum Acceptable  Diet among children 6-23 months,SUN,LSIS1,2012,VIENTIANE,39.3
496,Mininum Acceptable  Diet among children 6-23 months,SUN,LSIS1,2012,BORIKHAMXAY,51.0
497,Mininum Acceptable  Diet among children 6-23 months,SUN,LSIS1,2012,KHAMMUA,29.8
498,Mininum Acceptable  Diet among children 6-23 months,SUN,LSIS1,2012,SAVANNAKHET,42.2
499,Mininum Acceptable  Diet among children 6-23 months,SUN,LSIS1,2012,SARAVANE,43.6
500,Mininum Acceptable  Diet among children 6-23 months,SUN,LSIS1,2012,SEKONG,20.9
501,Mininum Acceptable  Diet among children 6-23 months,SUN,LSIS1,2012,CHAMPASACK,42.9
502,Mininum Acceptable  Diet among children 6-23 months,SUN,LSIS1,2012,ATTAPEU,37.2
503,Mininum Acceptable  Diet among children 6-23 months,SUN,LSIS1,2012,XAYSOMBOUNE,57.4
504,Prevalence of stunting,SUN,LSIS2,2017,target-2020,34.0
505,Prevalence of stunting,SUN,LSIS2,2017,target-2025,25.0
506,Prevalence of stunting,SUN,LSIS2,2017,NATIONAL,33.0
507,Prevalence of stunting,SUN,LSIS2,2017,VIENTIANE CAPITAL,13.8
508,Prevalence of stunting,SUN,LSIS2,2017,PHONGSALY,54.0
509,Prevalence of stunting,SUN,LSIS2,2017,LUANGNAMTHA,34.1
510,Prevalence of stunting,SUN,LSIS2,2017,OUDOMXAY,42.7
511,Prevalence of stunting,SUN,LSIS2,2017,BOKEO,34.7
512,Prevalence of stunting,SUN,LSIS2,2017,LUANGPRABANG,41.3
513,Prevalence of stunting,SUN,LSIS2,2017,HUAPHANH,40.7
514,Prevalence of stunting,SUN,LSIS2,2017,XAYABURY,25.1
515,Prevalence of stunting,SUN,LSIS2,2017,XIENGKHUANG,46.3
516,Prevalence of stunting,SUN,LSIS2,2017,VIENTIANE,33.0
517,Prevalence of stunting,SUN,LSIS2,2017,BORIKHAMXAY,29.9
518,Prevalence of stunting,SUN,LSIS2,2017,KHAMMUA,29.7
519,Prevalence of stunting,SUN,LSIS2,2017,SAVANNAKHET,28.4
520,Prevalence of stunting,SUN,LSIS2,2017,SARAVANE,42.9
521,Prevalence of stunting,SUN,LSIS2,2017,SEKONG,49.9
522,Prevalence of stunting,SUN,LSIS2,2017,CHAMPASACK,24.6
523,Prevalence of stunting,SUN,LSIS2,2017,ATTAPEU,29.6
524,Prevalence of stunting,SUN,LSIS2,2017,XAYSOMBOUNE,44.0
525,Prevalence of stunting,SUN,LSIS1,2012,target-2020,34.0
526,Prevalence of stunting,SUN,LSIS1,2012,target-2025,25.0
527,Prevalence of stunting,SUN,LSIS1,2012,NATIONAL,44.2
528,Prevalence of stunting,SUN,LSIS1,2012,VIENTIANE CAPITAL,19.3
529,Prevalence of stunting,SUN,LSIS1,2012,PHONGSALY,61.1
530,Prevalence of stunting,SUN,LSIS1,2012,LUANGNAMTHA,53.2
531,Prevalence of stunting,SUN,LSIS1,2012,OUDOMXAY,54.9
532,Prevalence of stunting,SUN,LSIS1,2012,BOKEO,46.0
533,Prevalence of stunting,SUN,LSIS1,2012,LUANGPRABANG,45.6
534,Prevalence of stunting,SUN,LSIS1,2012,HUAPHANH,61.1
535,Prevalence of stunting,SUN,LSIS1,2012,XAYABURY,39.0
536,Prevalence of stunting,SUN,LSIS1,2012,XIENGKHUANG,52.9
537,Prevalence of stunting,SUN,LSIS1,2012,VIENTIANE,42.6
538,Prevalence of stunting,SUN,LSIS1,2012,BORIKHAMXAY,41.0
539,Prevalence of stunting,SUN,LSIS1,2012,KHAMMUA,41.0
540,Prevalence of stunting,SUN,LSIS1,2012,SAVANNAKHET,41.0
541,Prevalence of stunting,SUN,LSIS1,2012,SARAVANE,54.4
542,Prevalence of stunting,SUN,LSIS1,2012,SEKONG,62.7
543,Prevalence of stunting,SUN,LSIS1,2012,CHAMPASACK,36.7
544,Prevalence of stunting,SUN,LSIS1,2012,ATTAPEU,39.7
545,Prevalence of stunting,SUN,LSIS1,2012,XAYSOMBOUNE,
546,Prevalence of stunting,SUN,MICS3,2006,target-2020,34.0
547,Prevalence of stunting,SUN,MICS3,2006,target-2025,25.0
548,Prevalence of stunting,SUN,MICS3,2006,NATIONAL,40.4
549,Prevalence of stunting,SUN,MICS3,2006,VIENTIANE CAPITAL,
550,Prevalence of stunting,SUN,MICS3,2006,PHONGSALY,
551,Prevalence of stunting,SUN,MICS3,2006,LUANGNAMTHA,
552,Prevalence of stunting,SUN,MICS3,2006,OUDOMXAY,
553,Prevalence of stunting,SUN,MICS3,2006,BOKEO,
554,Prevalence of stunting,SUN,MICS3,2006,LUANGPRABANG,
555,Prevalence of stunting,SUN,MICS3,2006,HUAPHANH,
556,Prevalence of stunting,SUN,MICS3,2006,XAYABURY,
557,Prevalence of stunting,SUN,MICS3,2006,XIENGKHUANG,
558,Prevalence of stunting,SUN,MICS3,2006,VIENTIANE,
559,Prevalence of stunting,SUN,MICS3,2006,BORIKHAMXAY,
560,Prevalence of stunting,SUN,MICS3,2006,KHAMMUA,
561,Prevalence of stunting,SUN,MICS3,2006,SAVANNAKHET,
562,Prevalence of stunting,SUN,MICS3,2006,SARAVANE,
563,Prevalence of stunting,SUN,MICS3,2006,SEKONG,
564,Prevalence of stunting,SUN,MICS3,2006,CHAMPASACK,
565,Prevalence of stunting,SUN,MICS3,2006,ATTAPEU,
566,Prevalence of stunting,SUN,MICS3,2006,XAYSOMBOUNE,
567,Prevalence of stunting,SUN,MICS2,2000,target-2020,34.0
568,Prevalence of stunting,SUN,MICS2,2000,target-2025,25.0
569,Prevalence of stunting,SUN,MICS2,2000,NATIONAL,42.4
570,Prevalence of stunting,SUN,MICS2,2000,VIENTIANE CAPITAL,
571,Prevalence of stunting,SUN,MICS2,2000,PHONGSALY,
572,Prevalence of stunting,SUN,MICS2,2000,LUANGNAMTHA,
573,Prevalence of stunting,SUN,MICS2,2000,OUDOMXAY,
574,Prevalence of stunting,SUN,MICS2,2000,BOKEO,
575,Prevalence of stunting,SUN,MICS2,2000,LUANGPRABANG,
576,Prevalence of stunting,SUN,MICS2,2000,HUAPHANH,
577,Prevalence of stunting,SUN,MICS2,2000,XAYABURY,
578,Prevalence of stunting,SUN,MICS2,2000,XIENGKHUANG,
579,Prevalence of stunting,SUN,MICS2,2000,VIENTIANE,
580,Prevalence of stunting,SUN,MICS2,2000,BORIKHAMXAY,
581,Prevalence of stunting,SUN,MICS2,2000,KHAMMUA,
582,Prevalence of stunting,SUN,MICS2,2000,SAVANNAKHET,
583,Prevalence of stunting,SUN,MICS2,2000,SARAVANE,
584,Prevalence of stunting,SUN,MICS2,2000,SEKONG,
585,Prevalence of stunting,SUN,MICS2,2000,CHAMPASACK,
586,Prevalence of stunting,SUN,MICS2,2000,ATTAPEU,
587,Prevalence of stunting,SUN,MICS2,2000,XAYSOMBOUNE,
588,Prevalence of overweight among children under 5 years,SUN,LSIS2,2017,target-2020,2.0
589,Prevalence of overweight among children under 5 years,SUN,LSIS2,2017,target-2025,2.0
590,Prevalence of overweight among children under 5 years,SUN,LSIS2,2017,NATIONAL,3.5
591,Prevalence of overweight among children under 5 years,SUN,LSIS2,2017,VIENTIANE CAPITAL,5.9
592,Prevalence of overweight among children under 5 years,SUN,LSIS2,2017,PHONGSALY,10.0
593,Prevalence of overweight among children under 5 years,SUN,LSIS2,2017,LUANGNAMTHA,1.8
594,Prevalence of overweight among children under 5 years,SUN,LSIS2,2017,OUDOMXAY,1.7
595,Prevalence of overweight among children under 5 years,SUN,LSIS2,2017,BOKEO,1.9
596,Prevalence of overweight among children under 5 years,SUN,LSIS2,2017,LUANGPRABANG,6.5
597,Prevalence of overweight among children under 5 years,SUN,LSIS2,2017,HUAPHANH,4.1
598,Prevalence of overweight among children under 5 years,SUN,LSIS2,2017,XAYABURY,5.1
599,Prevalence of overweight among children under 5 years,SUN,LSIS2,2017,XIENGKHUANG,2.9
600,Prevalence of overweight among children under 5 years,SUN,LSIS2,2017,VIENTIANE,2.4
601,Prevalence of overweight among children under 5 years,SUN,LSIS2,2017,BORIKHAMXAY,4.8
602,Prevalence of overweight among children under 5 years,SUN,LSIS2,2017,KHAMMUA,2.0
603,Prevalence of overweight among children under 5 years,SUN,LSIS2,2017,SAVANNAKHET,2.2
604,Prevalence of overweight among children under 5 years,SUN,LSIS2,2017,SARAVANE,2.7
605,Prevalence of overweight among children under 5 years,SUN,LSIS2,2017,SEKONG,2.2
606,Prevalence of overweight among children under 5 years,SUN,LSIS2,2017,CHAMPASACK,3.0
607,Prevalence of overweight among children under 5 years,SUN,LSIS2,2017,ATTAPEU,2.4
608,Prevalence of overweight among children under 5 years,SUN,LSIS2,2017,XAYSOMBOUNE,1.6
609,Prevalence of overweight among children under 5 years,SUN,LSIS1,2012,target-2020,2.0
610,Prevalence of overweight among children under 5 years,SUN,LSIS1,2012,target-2025,2.0
611,Prevalence of overweight among children under 5 years,SUN,LSIS1,2012,NATIONAL,2.0
612,Prevalence of overweight among children under 5 years,SUN,LSIS1,2012,VIENTIANE CAPITAL,2.2
613,Prevalence of overweight among children under 5 years,SUN,LSIS1,2012,PHONGSALY,4.3
614,Prevalence of overweight among children under 5 years,SUN,LSIS1,2012,LUANGNAMTHA,5.0
615,Prevalence of overweight among children under 5 years,SUN,LSIS1,2012,OUDOMXAY,2.7
616,Prevalence of overweight among children under 5 years,SUN,LSIS1,2012,BOKEO,1.6
617,Prevalence of overweight among children under 5 years,SUN,LSIS1,2012,LUANGPRABANG,1.4
618,Prevalence of overweight among children under 5 years,SUN,LSIS1,2012,HUAPHANH,1.7
619,Prevalence of overweight among children under 5 years,SUN,LSIS1,2012,XAYABURY,3.7
620,Prevalence of overweight among children under 5 years,SUN,LSIS1,2012,XIENGKHUANG,3.1
621,Prevalence of overweight among children under 5 years,SUN,LSIS1,2012,VIENTIANE,4.3
622,Prevalence of overweight among children under 5 years,SUN,LSIS1,2012,BORIKHAMXAY,2.9
623,Prevalence of overweight among children under 5 years,SUN,LSIS1,2012,KHAMMUA,0.7
624,Prevalence of overweight among children under 5 years,SUN,LSIS1,2012,SAVANNAKHET,1.3
625,Prevalence of overweight among children under 5 years,SUN,LSIS1,2012,SARAVANE,1.3
626,Prevalence of overweight among children under 5 years,SUN,LSIS1,2012,SEKONG,1.7
627,Prevalence of overweight among children under 5 years,SUN,LSIS1,2012,CHAMPASACK,0.4
628,Prevalence of overweight among children under 5 years,SUN,LSIS1,2012,ATTAPEU,0.8
629,Prevalence of overweight among children under 5 years,SUN,LSIS1,2012,XAYSOMBOUNE,
630,Prevalence of wasting among children under 5 years,SUN,LSIS2,2017,target-2020,5.0
631,Prevalence of wasting among children under 5 years,SUN,LSIS2,2017,target-2025,5.0
632,Prevalence of wasting among children under 5 years,SUN,LSIS2,2017,NATIONAL,9.0
633,Prevalence of wasting among children under 5 years,SUN,LSIS2,2017,VIENTIANE CAPITAL,5.5
634,Prevalence of wasting among children under 5 years,SUN,LSIS2,2017,PHONGSALY,8.9
635,Prevalence of wasting among children under 5 years,SUN,LSIS2,2017,LUANGNAMTHA,3.0
